Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2021-01-01,725.4808809128,739.1462869148,749.0597988487,721.9209813522
ETH,2021-01-02,784.4695875397,726.2192866917,784.5060312161,716.2258855237
ETH,2021-01-03,898.34734786,783.1232483643,967.3334133081,742.2590808701
ETH,2021-01-04,1040.3664471204,912.9051886374,1151.0693893,890.4738063562
ETH,2021-01-05,1104.246663027,1041.7190409266,1126.8707718668,980.2780636348
ETH,2021-01-06,1186.5522544973,1099.5520082226,1210.541549465,1059.1474753692
ETH,2021-01-07,1229.8703621288,1161.9968441439,1287.692633766,1119.832761587
ETH,2021-01-08,1182.3644749354,1233.1569628949,1273.60307923,1069.0835565634
ETH,2021-01-09,1230.0728688475,1184.660937886,1236.6854028122,1135.3321638019
ETH,2021-01-10,1270.2373942895,1229.1808452319,1344.6138305963,1218.7068094768
ETH,2021-01-11,987.3189782728,1259.0618262979,1284.9947916528,912.3281017097
ETH,2021-01-12,1062.7131357909,983.7867518782,1149.7556812757,959.5433703272
ETH,2021-01-13,1106.3741978501,1081.9650276494,1132.8183674447,989.8557858136
ETH,2021-01-14,1225.7454355901,1102.7736811846,1245.1143856046,1087.8991567728
ETH,2021-01-15,1150.642638513,1230.4194750535,1254.4915101784,1071.7724200572
ETH,2021-01-16,1249.9728635226,1133.1758863184,1292.5577521532,1112.0373366537
ETH,2021-01-17,1230.2483146245,1252.9768981659,1281.568846338,1167.1058927446
ETH,2021-01-18,1228.1846851652,1218.0540062886,1268.6658907132,1189.3554541822
ETH,2021-01-19,1342.6907743557,1228.9524637168,1439.3277249001,1224.9108251291
ETH,2021-01-20,1334.6397912654,1360.3395625868,1425.8315576036,1236.7450253429
ETH,2021-01-21,1234.1893540155,1346.9363638789,1388.918842536,1163.7735735655
ETH,2021-01-22,1269.5151864803,1231.5956119656,1274.0903487817,1044.2166271905
ETH,2021-01-23,1260.1063699636,1270.3722008843,1275.9558118998,1198.3501194273
